id,timestamp,price,market_cap,total_volume,ath,atl,open,high,low,close
bitcoin,2025-01-13,94454.77089638807,1870314882306.9236,19608932595.53299,126080.0,67.81,94454.77089638807,94454.77089638807,94454.77089638807,94454.77089638807
bitcoin,2025-01-14,94456.3493746993,1870609367804.8223,76328330233.31137,126080.0,67.81,94456.3493746993,94456.3493746993,94456.3493746993,94456.3493746993
bitcoin,2025-01-15,96574.07768799194,1912603332624.1123,51241728228.81719,126080.0,67.81,96574.07768799194,96574.07768799194,96574.07768799194,96574.07768799194
bitcoin,2025-01-16,100313.15239828422,1986831430651.8647,57637319739.543396,126080.0,67.81,100313.15239828422,100313.15239828422,100313.15239828422,100313.15239828422
bitcoin,2025-01-17,100044.57926776377,1980935754458.284,50150102497.2729,126080.0,67.81,100044.57926776377,100044.57926776377,100044.57926776377,100044.57926776377
bitcoin,2025-01-18,104160.69358484233,2063854663834.0774,69135117732.00064,126080.0,67.81,104160.69358484233,104160.69358484233,104160.69358484233,104160.69358484233
bitcoin,2025-01-19,104334.61575724394,2067151195362.0425,49416447749.13053,126080.0,67.81,104334.61575724394,104334.61575724394,104334.61575724394,104334.61575724394
bitcoin,2025-01-20,101275.33714814208,2014842808849.5005,72970313683.92325,126080.0,67.81,101275.33714814208,101275.33714814208,101275.33714814208,101275.33714814208
bitcoin,2025-01-21,101764.90860170545,2017837068202.1384,120158523166.88387,126080.0,67.81,101764.90860170545,101764.90860170545,101764.90860170545,101764.90860170545
bitcoin,2025-01-22,106182.2368201815,2098829000928.49,95344290057.8965,126080.0,67.81,106182.2368201815,106182.2368201815,106182.2368201815,106182.2368201815
bitcoin,2025-01-23,103673.53509537787,2054288661793.9773,55030669602.56557,126080.0,67.81,103673.53509537787,103673.53509537787,103673.53509537787,103673.53509537787
bitcoin,2025-01-24,104067.60991206947,2062360759045.0,102455227371.20761,126080.0,67.81,104067.60991206947,104067.60991206947,104067.60991206947,104067.60991206947
bitcoin,2025-01-25,104835.19253555956,2076156720642.786,51418786362.7815,126080.0,67.81,104835.19253555956,104835.19253555956,104835.19253555956,104835.19253555956
bitcoin,2025-01-26,104796.04077738234,2077647817531.3406,22740744964.719296,126080.0,67.81,104796.04077738234,104796.04077738234,104796.04077738234,104796.04077738234
